"Site","Final_Event","Source_File","t0","t1","i_peak","t_peak","Q_peak","rising_time_h","recession_time_h","symmetry_index","RB_flashiness","peak_sharpness","baseflow_index","recession_k_per_h","n_peaks","VQ_m3","vQ_mm","Load_kg","Yield_kg_ha","duration_h","n_obs","mean_dt_s","HI_Lloyd_Index","Flushing_Index","Zuec_h","Zuec_class","Q_fixed_min","Q_fixed_max","t1_prev","dt_prev_event_h","dt_prev_event_d","Q_peak_prev","Load_kg_prev","VQ_m3_prev","prev_overlap_flag","n_events_prev_30d","n_events_prev_14d","n_events_prev_7d","QCI","Slope","DDI","CCI","SEI","LU_high","LU_mid","LU_low","LUSP","DI","SI","Sed_Risk_mean","Sed_Risk_weighted_mean","Sed_Risk_tail_2_5"
"Kokako",32,"Event_24.csv","2022-12-14 21:15:00","2022-12-16 05:00:00",64,"2022-12-15 13:15:00",5.43897592198865,16,15.75,0.503937007874016,0.0330304019310405,1.71971995313569,0.181763106173292,0.102138004648879,2,309562.81197034,27.3260677487483,197190.789120856,174.06641413575,31.75,126,914.4,-0.0363053962089086,0.973090554695599,-0.032565681274516,4,0.1,0.999,"2022-12-10 23:00:00",94.25,3.92708333333333,0.479190866165822,3649.37397891124,56612.6112930551,FALSE,4,2,1,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",33,"Event_25_1.csv","2022-12-20 18:30:00","2022-12-21 22:30:00",21,"2022-12-20 23:30:00",7.77860483511584,5,23,0.178571428571429,0.0529714963914575,1.42923116254185,0.114033234045716,0.0577028119230485,1,297784.890025377,26.2863941168963,216688.556778608,191.277697253831,28,69,1482.35294117647,0.126097591812815,0.873893771887866,0.123790910430368,1,0.1,0.999,"2022-12-16 05:00:00",109.5,4.5625,5.43897592198865,197190.789120856,309562.81197034,FALSE,4,2,1,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",34,"Event_25_2.csv","2022-12-22 03:30:00","2022-12-22 21:30:00",22,"2022-12-22 08:45:00",1.57160315493492,5.25,12.75,0.291666666666667,0.0365079053788452,1.89175313381857,0.587221688995396,0.1690997243718,1,52421.657097697,4.62742195755273,12339.5958653449,10.8925432761896,18,73,900,0.0380262532230764,1,0.037847388720603,1,0.1,0.95,"2022-12-21 22:30:00",5,0.208333333333333,7.77860483511584,216688.556778608,297784.890025377,FALSE,5,3,2,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",35,"Event_26_1.csv","2023-01-05 00:15:00","2023-01-07 16:30:00",191,"2023-01-07 00:15:00",1.42300618712623,48,16.25,0.747081712062257,0.0159953380073582,2.28227487658844,0.584848601326375,0.0447212515880729,1,160585.055896878,14.175340018862,36445.6985957171,32.1717464264554,64.25,256,907.058823529412,-0.00688842212669614,0.967664243607993,-0.00818605855267301,3,0.25,0.95,"2022-12-22 21:30:00",314.75,13.1145833333333,1.57160315493492,12339.5958653449,52421.657097697,FALSE,4,1,0,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",36,"Event_27_1.csv","2023-01-06 18:15:00","2023-01-07 16:30:00",24,"2023-01-07 00:15:00",1.42300618712623,6,16.25,0.269662921348315,0.021284213755991,1.47172513890126,0.535827653450341,0.0447212515880729,1,73728.9448895609,6.50828221346208,20614.5031831452,18.1970601379402,22.25,89,910.227272727273,-0.0324643940909831,0.774370210582313,-0.0373692864261242,3,0.1,0.95,"2023-01-07 16:30:00",-22.25,-0.927083333333333,1.42300618712623,36445.6985957171,160585.055896878,TRUE,4,0,0,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",37,"Event_26_2.csv","2023-01-07 17:00:00","2023-01-08 12:30:00",7,"2023-01-07 18:30:00",1.79264033839327,1.5,18,0.0769230769230769,0.0438208821028638,1.76587786057495,0.622319398392282,0.275397999181711,1,52308.8996705086,4.61746851038344,11393.5478596795,10.0574374140922,19.5,78,911.688311688312,0.0735608657649061,0.957395517488022,0.0629194682912448,1,0.1,0.95,"2023-01-07 16:30:00",0.5,0.0208333333333333,1.42300618712623,20614.5031831452,73728.9448895609,FALSE,6,2,2,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",38,"Event_45_E.csv","2023-01-09 23:30:00","2023-01-12 04:15:00",89,"2023-01-10 21:45:00",0.511071683001564,22.25,30.5,0.421800947867299,0.0039781713278037,1.23224883812693,0.867540092521746,0.0249518559975778,6,83144.6411239375,7.33943486892659,6582.82168103747,5.8108604870534,52.75,209,912.980769230769,-0.0401578747180876,0.952714836827158,-0.0233490611702794,3,0.25,0.95,"2023-01-08 12:30:00",35,1.45833333333333,1.79264033839327,11393.5478596795,52308.8996705086,FALSE,6,3,3,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",39,"Event_28.csv","2023-01-23 21:45:00","2023-01-24 21:30:00",14,"2023-01-24 01:15:00",0.632821145866458,3.5,20.25,0.147368421052632,0.0147926245913856,1.37998005977964,0.735371929456918,0.0738219400482644,1,37278.5399476682,3.29069212706984,3221.83395631303,2.84401257389608,23.75,95,909.574468085106,0.173900861733437,0.885023652074428,0.137220964314933,1,0.15,0.95,"2023-01-12 04:15:00",281.5,11.7291666666667,0.511071683001564,6582.82168103747,83144.6411239375,FALSE,4,1,0,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",40,"Event_29.csv","2023-01-27 18:00:00","2023-01-29 09:15:00",42,"2023-01-28 04:30:00",6.70369166055358,10.5,28.75,0.267515923566879,0.0436771379509742,2.33361318620483,0.239133179538098,0.0867634366970711,1,317777.332385567,28.0511888960891,234831.779603465,207.293281714286,39.25,156,911.612903225806,-0.0716498379905238,0.987715627395464,-0.0615927485814887,4,0.1,0.95,"2023-01-24 21:30:00",68.5,2.85416666666667,0.632821145866458,3221.83395631303,37278.5399476682,FALSE,5,1,1,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
"Kokako",41,"Event_30.csv","2023-02-01 05:30:00","2023-02-02 11:00:00",42,"2023-02-01 15:45:00",1.43085247087701,10.25,19.25,0.347457627118644,0.0194906351286923,1.93749709690277,0.618636177977127,0.0210413410721128,2,85540.4925072343,7.55092408754169,20590.0378133072,18.1754637985919,29.5,118,907.692307692308,0.0571978859746195,0.709184110924075,0.0420887342329103,2,0.15,0.95,"2023-01-29 09:15:00",68.25,2.84375,6.70369166055358,234831.779603465,317777.332385567,FALSE,6,2,1,0.379938985910839,0.32854085963545,0.90155062684277,0.149969492955419,1.16183953563591,85.1032884410428,10.9582323079729,3.92546438436413,1.68030013398703,1.55885695037014,-1.27728329503153,1.36601831459372,1.10328712041301,0.0410698355167805
